Fayda,Bitkiler
Kan şekerini dengelemeye yardımcı olur,"Isırgan Otu, Karahindiba, Kişniş, Tarçın, Zeytin Yaprağı, Çörek Otu, Hindiba Kökü, Defne Yaprağı, Isırgan Tohumu, Kudret Narı"
Vücuttan ödem atılmasını sağlar ve detoks etkisi yaratır,"Kinoa Yaprağı, Ardıç Meyvesi, Havuç Tohumu, Maydanoz Tohumu, Kırmızı Yonca, Kereviz Tohumu, Armut Yaprağı, At Kestanesi, Atkuyruğu, Huş Ağacı Kabuğu, Siyah Kimyon (Bunium), Maydanoz Yaprağı, Yonca, Dulavratotu Kökü, Karahindiba, Isırgan Otu, Hindiba Kökü, Ekinezya, Dulavrat Otu Kökü, Enginar Yaprağı, Rezene, Soğan Kabuğu, Mürver Çiçeği, At Kuyruğu, Siyah Kimyon"
"Bilişsel fonksiyonları, hafızayı ve odaklanmayı güçlendirir","Melisa, Keten Tohumu, Limon Kekiği, Biberiye, Ginkgo Biloba, Ashwagandha, Günlük, Ginseng, Gotu Kola, İspanyol Adaçayı, Safran, Adaçayı, Karabaş Otu, Altın Kök, Kutsal Fesleğen, Siyah Kimyon (Bunium), Isırgan Tohumu, Limon Otu, Sitronella, Maca Kökü, Keklik Otu, Akgünlük, Fesleğen, Mor Fesleğen, Kakule"
Antioksidan etkisiyle hücresel koruma ve savunma sağlar,"Alman Papatyası, Geven, Dereotu Tohumu, Devedikeni, Ebegümeci, Enginar Yaprağı, Isırgan Otu, Karahindiba, Karanfil, Kaygan Karaağaç, Kimyon, Kişniş, Mürver Çiçeği, Okaliptüs Yaprağı, Romen Papatyası, Zencefil, Zerdeçal, Zeytin Yaprağı, Çörek Otu, Adaçayı, Ginkgo Biloba, Gotu Kola, Ihlamur, Kara Mürver, Meyan Kökü, Elma Kabuğu, Soğan Kabuğu, At Kuyruğu, Biberiye, Mor Fesleğen, Roma Papatyası"
Karaciğer sağlığını ve fonksiyonlarını destekler,"Devedikeni, Dulavratotu Kökü, Enginar Yaprağı, Karahindiba, Hindiba Kökü, Zerdeçal, Kimyon, Biberiye, Mine Çiçeği, Tarçın, Çin Yaban Değneği, Asya Yaban Değneği, Ebucehil Karpuzu, Hibiskus, Hindistan Bektaşi Üzümü, Tıbbi Nane, Mercanköşk, Karanfil, Enginar, Çemen, Avrupa Yaban Değneği, Karabiber, Kara Hardal, Aslanpençesi, Sedef Otu, Tatlı Mercanköşk, Su Nanesi"
"Ağız ve diş sağlığını korur, mukoza yapısını destekler","Alman Papatyası, Anason, Dereotu Tohumu, Karanfil, Kişniş, Kızılcık Kabuğu, Nane, Rezene, Günlük, Ayva Yaprağı, Mor Fesleğen, Guggul Reçinesi, Ekinezya, Fesleğen, Elma Nanesi, Yarpuz, Laden, Adaçayı, Akçaağaç Kabuğu, Altınmühür, Atkuyruğu, Böğürtlen Yaprağı, Mür Reçinesi, Maydanoz Yaprağı, Meyan Kökü, Akgünlük, Kekik (Onites), Ahududu Yaprağı, At Kuyruğu"
Böbrek ve idrar yolları sağlığını destekleyerek enfeksiyonları önler,"Enginar Yaprağı, Isırgan Otu, Karahindiba, Kereviz Tohumu, Mürver Çiçeği, Rezene, Çobançantası, Ardıç Meyvesi, Havuç Tohumu, Maydanoz Tohumu, Isırgan Tohumu, Armut Yaprağı, Atkuyruğu, Maydanoz Yaprağı, Pırasa Tohumu, Ebegümeci, Hatmi Çiçeği, Sinir Otu, Kaygan Karaağaç, At Kuyruğu"
Libido ve cinsel performansı artırır,"Damiana, Maca Kökü, Isırgan Tohumu, Safran, Muskat, Maydanoz Tohumu, Paçuli, Pırasa Tohumu, Şizandra"
Enerji seviyelerini artırarak fiziksel ve zihinsel yorgunluğu giderir,"Geven, Devedikeni, Karahindiba, Tarçın, Zeytin Yaprağı, Şizandra, Darülfülfül, Altın Kök, Shatavari, Meyan Kökü, Isırgan Tohumu, Ginseng, Chia Tohumu, Şatavari"
"Bolluk, bereket ve pozitif enerji akışını destekler","Defne Yaprağı, Fesleğen, Maydanoz Tohumu, Muskat, Paçuli, Aloe Vera, Yonca, At Kestanesi, Altınmühür, Tarhun"
Hemostatik özellik göstererek yara iyileşmesini hızlandırır,"Kızılcık Kabuğu, Çobançantası"
Kemik ve diş yapısını güçlendirerek iskelet sistemini korur,"Kinoa Yaprağı, Chia Tohumu, Atkuyruğu, At Kuyruğu"
Demir eksikliği ve anemi semptomlarını hafifletmeye yardımcı olur,"Kinoa Yaprağı, Ispanak, Isırgan Otu, Ahududu Yaprağı"
Hücresel yenilenmeyi destekleyerek anti-aging etki sağlar,"Kinoa Yaprağı, Ashwagandha, Ginkgo Biloba, Ginseng, Kara Mürver"
Testosteron seviyelerini ve kas kütlesi gelişimini destekler,"Ashwagandha, Maca Kökü, Chia Tohumu, Sibirya Ginsengi"
Rüya farkındalığını ve hatırlamayı kolaylaştırır,"Damiana, Defne Yaprağı, Pelin Otu, Paçuli, Çarkıfelek, Kediotu"
Antipiretik (ateş düşürücü) etki sağlar,"Ayva Yaprağı, Limon Otu, Pelin Otu, Kudzu, Elma Nanesi, Çemen, Büyük Çayır Düğmesi"
Kolesterolü dengeler ve kardiyovasküler sağlığı korur,"Guggul Reçinesi, Ginseng, Ökseotu, Chia Tohumu, Alıç, Karabaş Otu, Sarımsak, Enginar Yaprağı"
Doğal böcek ve haşere kovucu özellik taşır,"Fesleğen, Yarpuz, Sitronella, Pelin Otu, Limon Otu, Okaliptüs Yaprağı, Tarçın, Kafur, Mercanköşk, Kokar Sedef Otu, Turnagagası, Hayıt"
Kan dolaşımını düzenleyerek vücut ısısını dengeler,"Ginkgo Biloba, Ginseng, Gotu Kola, Ökseotu, Isırgan Tohumu, Muskat"
Göz sağlığını ve görme fonksiyonlarını destekler,"Ginkgo Biloba, Kara Mürver, Safran, Havuç Tohumu, Akçaağaç Kabuğu, Altınmühür, Aynısafa, Alman Papatyası, Ayva Çekirdeği"
Prostat sağlığını destekler ve fonksiyonlarını korur,Armut Yaprağı
Venöz dolaşımı destekleyerek varis ve hemoroid şikayetlerini hafifletir,"At Kestanesi, Pırasa Tohumu, Civanperçemi, Tavşanmemesi, Ökseotu"
Tırnak yapısını güçlendirir ve tırnak sağlığını korur,"Atkuyruğu, At Kuyruğu"
Kulak sağlığını destekler ve ağrıları hafifletir,"Sığırkuyruğu, Sarımsak"
Bağımlılıkla mücadeleyi destekler ve iradeyi güçlendirir,Karabaş Otu
Laktasyonu destekleyerek anne sütü üretimini artırır,"Anason, Dereotu Tohumu, Kimyon, Rezene, Çemen Otu, Shatavari, Siyah Kimyon (Bunium), Şatavari, Siyah Kimyon, Çemen, Hayıt Otu, Şevketibostan"
Üreme sağlığını destekler ve hormonal dengeyi sağlar,"Shatavari, Ahududu Yaprağı, Adaçayı, Civanperçemi, Ökseotu, Havuç Tohumu, Mine Çiçeği, Tarhun, Siyah Kimyon, Maydanoz Yaprağı, Kekik (Onites), Roma Papatyası, Safran, Çobançantası, İspanyol Adaçayı, Kediotu, Şatavari, Mavi Yılan Kökü, Kara Yılan Otu"
Vücuttaki iltihabı azaltmaya yardımcı olur (Anti-inflamatuar),"Alman Papatyası, Geven, Devedikeni, Isırgan Otu, Meyan Kökü, Roma Papatyası, Sinir Otu, Zencefil, Zerdeçal, Zeytin Yaprağı, Akgünlük, Guggul Reçinesi, Kaygan Karaağaç"
"Vücut genelindeki ağrıları (baş, kas, eklem) hafifletir ve dindirir","Alman Papatyası, Ihlamur, Karanfil, Melisa, Nane, Okaliptüs Yaprağı, Roma Papatyası, Çobançantası, Çörek Otu, Fesleğen, Lavanta, Kekik (Onites), Marul, Taze Kabak, Su Teresi, Çiriş Otu, Yaban İnciri, Bağ Yaprağı, Pazı, Defne, Siyah Dut, Ananas Adaçayı, Havlıcan, Tıbbi Havlıcan, Zedoarya, Mercanköşk, Kekik, Beyaz Dut Yaprağı, Beyaz Zerdeçal, Çam Sakızı, Bergamot Nanesi, Karayılan Otu, Kızılçam, Bergamotlu Nane, Soğan, Kabak, Ebucehil Karpuzu, Pırasa, Kavak, Kenevir"
Cilt sağlığını destekler ve deri hastalıklarının iyileşmesine yardımcı olur,"Altınmühür, At Kuyruğu, Çuha Çiçeği, Aynısafa, Hatmi Kökü, Huş Ağacı Kabuğu, Karabaş Otu, Kekik, Çay Ağacı, Pelin Otu, Ardıç Meyvesi, Akgünlük, Damiana, Mor Fesleğen, Guggul Reçinesi, Paçuli, Kırmızı Yonca, Aloe Vera, Dulavrat Otu, Armut Yaprağı, Gül Suyu, Cupuaçu, Kuşburnu Yağı ve Çekirdeği, Beyaz Zerdeçal, Çam Reçinesi, Çam Sakızı, Karadut Yaprağı, Nar Çekirdeği Yağı, Zedoarya, Mercanköşk, Alpinia Malaccensis, Karahindiba Çayı, Mercanköşk Yağı, İzmir Kekiği, Beyaz Dut Yaprağı, Yaban Mersini Yaprağı, Acı Bakla, Burçak, Kükürt, Zeytin, Ceviz, Erik, Sabun Otu, Kuşburnu, Dut Yaprağı, Tıbbi Havlıcan, Karahindiba, Kızılçam Katranı, Karayılan Otu, Yaban Mersini, Ağustos Gülü"
Ateş düşürücü etki sağlar ve vücut ısısını dengeler,"Ayva Yaprağı, Kızılcık Kabuğu, Mürver Çiçeği, Pelin Otu, Limon Otu, Kudzu, Elma Nanesi, Dut Ağacı (Yaprak ve Dal), Ananas Adaçayı, Havlıcan, Karayılan Otu, Kanada Yaban Değneği (Asarum Canadense), Kanada Yaban Değneği (Asarum Caudatum), Avrupa Yaban Değneği, Himalaya Yaban Değneği, Asya Yaban Değneği, Çoban Püskülü, Tarçın, Yabani Zencefil, Kokar Sedef Otu, Söğüt Kabuğu, Kara Hardal, Küçük Çayır Düğmesi"
"Kalp-damar sağlığını korur, dolaşımı, tansiyonu ve kolesterolü düzenler","At Kestanesi, Ökseotu, Alıç, Karabaş Otu, Sarımsak, Zeytin Yaprağı, Ginkgo Biloba, Ginseng, Gotu Kola, Isırgan Tohumu, Muskat, Fesleğen, Siyah Dut, Nar Çekirdeği Yağı, Nar, Kekik, Çam Sakızı, Yaban Mersini, Karahindiba Çayı, Kuşburnu, Mor Soğan, Dut Yaprağı, Beyaz Zerdeçal, Karadut Yaprağı, Bergamot, Kereviz, Zeytin, Yayla Çayı, Dut Ağacı (Yaprak ve Dal), Ananas Adaçayı, Kabuk Zencefili, Tıbbi Havlıcan, Zedoarya, Mercanköşk, Kereviz Yaprağı"
Karaciğer sağlığını destekler ve vücudun toksinlerden arınmasına (detoks) yardımcı olur,"Devedikeni, Dulavrat Otu Kökü, Enginar Yaprağı, Karahindiba, Kimyon, Zerdeçal, Hindiba Kökü, Şizandra, Biberiye, Mine Çiçeği, Isırgan Otu, Kinoa Yaprağı, Ardıç Meyvesi, Ekinezya, Kırmızı Yonca, Hayıt, Ispanak, Labada, Mürver, Pelin, Karabaş Otu, Dut Ağacı (Yaprak ve Dal), Havlıcan, Beyaz Zerdeçal, Mercanköşk, Kereviz, Beyaz Dut Yaprağı, İzmir Kekiği, Kamış, Haşhaş"
Hormonal dengeyi ve kas gelişimini destekler,"Ashwagandha, Maca Kökü, Chia Tohumu, Sibirya Ginsengi"
"Metabolizmayı hızlandırır, enerji seviyelerini artırır ve kilo kontrolüne yardımcı olur","Ardıç Meyvesi, Guggul Reçinesi, Zencefil, Elma Kabuğu, Nar Çekirdeği Yağı, Kabuk Zencefili, Yaban Mersini, Kekik, Dut Yaprağı, Beyaz Zerdeçal, Çam Sakızı"
Anti-aging etkisiyle yaşlanma belirtilerini geciktirir ve zindelik sağlar,"Adaçayı, Biberiye, Kinoa Yaprağı, Çuha Çiçeği, Mür Reçinesi, Ashwagandha, Ginkgo Biloba, Ginseng, Kara Mürver, Erguvan"
"Uyku kalitesini artırır, stresi azaltır ve sakinleştirici etki sağlar","Damiana, Defne Yaprağı, Pelin Otu, Paçuli, Çarkıfelek, Kediotu, Kuşburnu, Adaçayı, Ananas Adaçayı, Salvia Divinorum, Salvia Reuterana, Nane, Biberiye, Dağ Çayı, Lavanta, Turunç, Mercanköşk, Roma Papatyası, Karahindiba, Bergamot Nanesi, Bergamot, Dut Yaprağı, Nar Çekirdeği, İzmir Kekiği, Fesleğen, Gül, Melisa, Karayılan Otu, Kabak Çekirdeği"
Kan şekerini dengeler ve diyabet yönetimini destekler,"Beyaz Dut Yaprağı, Siyah Dut Yaprağı, Kudret Narı, Banaba, Çemen, Gurmar, Tarçın, Ginseng Türleri, Zeytin Yaprağı, Kekik, İğde Yaprağı, Ardıç, Isırgan, Yaban Mersini, Yayla Çayı, Havlıcan, Alpinia Malaccensis, Kuşburnu, Beyaz Zerdeçal, Ananas Adaçayı, Karahindiba, Mercanköşk, Kereviz"
Bağışıklık sistemini güçlendirir,"Kuşburnu, Yayla Çayı, Bergamot, Dut Yaprağı, Kereviz Yaprağı, Nar Çekirdeği Yağı, Yaban Mersini, Kekik, Beyaz Zerdeçal, Çam Sakızı, Karadut Yaprağı, Karahindiba Kökü, İzmir Kekiği"
Anti-enflamatuar etki göstererek vücuttaki iltihabı azaltır,"Zeytin, Yaban Mersini, Yayla Çayı, Beyaz Adaçayı, Monarda, Siyah Dut, Nar Çekirdeği Yağı, Havlıcan, Alpinia Malaccensis, Baykal Takkesi, Tıbbi Havlıcan, Zerumbet Havlıcanı, Şeftali Çekirdeği, Hedyotis Diffusa, Beyaz Zerdeçal, Mercanköşk, Kekik, Çam Reçinesi, Karahindiba"
Antioksidan etkisiyle hücreleri serbest radikallere karşı korur,"Kuşburnu, Zeytin, Yaban Mersini, Yayla Çayı, Havlıcan, Tıbbi Havlıcan, Zerumbet Havlıcanı, Şeftali Çekirdeği, Hedyotis Diffusa, Beyaz Zerdeçal, Mercanköşk, Kereviz, Karahindiba, Kekik, Dut Yaprağı, Çam Reçinesi, Nar Çekirdeği Yağı, Çin Yaban Değneği, Çörek Otu, Kızıl Yonca, Tarçın, Zerdeçal, Küçük Çayır Düğmesi"
"Solunum yollarını rahatlatır, üst solunum yolu şikayetlerini hafifletir","Havuç, Ihlamur, Ardıç, Çam, İncir, Ayva, Rezene, Yayla Çayı, Dut Yaprağı, Kuşburnu, Havlıcan, Küçük Havlıcan, Çam Sakızı, Kızılçam Reçinesi (Terementin), Tıbbi Havlıcan, Mercanköşk, Kekik, Beyaz Zerdeçal, Yaban Mersini, İzmir Kekiği, Nar, Üzüm"
Kanser hücrelerinin gelişimini önlemeye yardımcı olur,"Havlıcan, Zeytin, Yaban Mersini, Yayla Çayı, Kızılçam Reçinesi (Pinus Brutia), Kuşburnu Çekirdeği, Alpinia Malaccensis, Testere Palmiyesi (Beta-sitosterol), Baykal Takkesi, Aslan Kuyruğu, Hedyotis Diffusa, Beyaz Zerdeçal, Mercanköşk, Kekik, Dut Yaprağı, Nar Çekirdeği Yağı, Karahindiba"
"Hormonal dengeyi düzenler, adet ve menopoz semptomlarını hafifletir","Siyah Yılankökü, Kuşburnu, Aslan Kuyruğu, Nar Çekirdeği Yağı, Adaçayı Özü, Yaban Mersini, Nane, Havlıcan, Tıbbi Havlıcan, Şeftali Çekirdeği, Zedoarya, Mercanköşk, Mavi Yılan Kökü, Beyaz Zerdeçal, Kekik Çayı, Siyah Yılan Kökü, Karayılan Otu, İzmir Kekiği"
"Üriner sistem sağlığını destekler, idrar söktürür ve taş düşürmeye yardımcı olur","Biberiye, Maydanoz, Kereviz, Pıtrak, Mavi Yılan Kökü, Dut Yaprağı, Karahindiba, Kızılçam, Mercanköşk, Ananas Adaçayı, Cedvar, Kuşburnu, Zedoarya, Cüce Palmiye, Karahindiba Kökü"
"Zihinsel performansı, odaklanmayı ve hafızayı güçlendirir","Gül Suyu, Adaçayı, Havlıcan, Zerumbet Havlıcanı, Mercanköşk, Dut Yaprağı, Yaban Mersini, Kereviz Yaprağı, Bergamot, Karayılan Otu, Kekik (Karvakrol)"
Saç ve saç derisi sağlığını destekler,"Havlıcan, Su Nanesi, Badem, Latin Çiçeği, Nar, Keten, Kuşburnu, Beyaz Zerdeçal, Cüce Palmiye, Yaban Mersini Yaprağı"
Göz sağlığını ve görme yetisini korur,"Papatya, Rezene, Marul, Kereviz, Fesleğen, Kızıl Gül, Servi, Yaban Mersini, Karahindiba, Cüce Palmiye Kökü"
Antimikrobiyal etkisiyle bakteri ve virüslere karşı koruma sağlar,"Havlıcan, Zeytin, Yaban Mersini, Yayla Çayı, Siyah Dut, Alpinia Malaccensis, Üzerlik Otu, Tıbbi Havlıcan, Zedoarya, Mercanköşk, Kekik, Beyaz Zerdeçal, Çam Reçinesi, Adaçayı, Bergamot, Kızılçam, İzmir Kekiği"
Laktasyonu destekler ve anne sütü üretimini artırır,"Anason, Rezene, Çemen, Fesleğen, Kuşburnu"
Prostat sağlığını korur ve destekler,"Cüce Palmiye, Bitki Sterolleri, Prunus Türleri"
Kemik yapısını güçlendirir ve osteoporoza karşı korur,"Kuşburnu, Kara Yılan Otu, Çam türleri (Pinus sp., Pinus pinea), Dut Yaprağı, Karadut Yaprağı, Yaban Mersini, Karahindiba Çayı, Beyaz Dut Yaprağı"
Ağız ve diş sağlığını korur,"Karanfil, Kuşburnu, Nar, Beyaz Zerdeçal, Karadut Yaprağı, Çam Sakızı, Kekik Çayı"
Anemi semptomlarını hafifletir ve kan yapımını destekler,"Kuşburnu, Dut Yaprağı, Beyaz Zerdeçal"
