Fayda,Taşlar
Cilt sağlığını destekler ve deri rahatsızlıklarını iyileştirmeye yardımcı olur,"Selenit, Rutil Kuvars, Smithsonit, Rodokrozit, Selestit, Rodonit, Afganit, Ajoite, Aktinolit, Apofilit, Ateş Akik, Lapis Lazuli, Vezüvyan, Yosunlu Akik, Zirkon, Zoisit, Zümrüt, Şungit, Vesuvianite, Sodalit, Anyolit, Turmalin, Lacivert Taşı, Yeşim, Bakır, Kil, Tanzanit, Yakut, Dalmatian Jasper, Dravit, Erythrite, Fosfosiderit"
Ruhsal farkındalığı artırır ve spiritüel gelişimi destekler,"Safir, Selestit, Seraphinite, Selenit, Rutil Kuvars, Moldavit, Çeroit, Petalit, Shattuckite, Kavansit, Phenacite, Copal, Kassiterit, Kovelit, Libya Çöl Camı, Azeztulit, Metamorfoz Kuvars, Hanksit, Afrika Turkuazı, İlvaite, Tsavorit Lal Taşı, Sonsuz Taş, Süper Yedi Taş, Lemuryan Kuvars, Kakoksenit, Benekli Kalsedon, Angel Aura Kuvars, Sanda Rosa Azeztulite, Kriyolit, Goshenit"
"İlişkilerde sevgi, uyum ve duygusal bağı güçlendirir","Safir, Sardonyx, Selestit, Ajoite, Pembe Kuvars, Zümrüt, Yeşim, Aventurin, Alexandrite, Almandin, Andalusite, Astrofilit, Atakamit"
Solunum yolu ve akciğer sağlığını destekler,"Rutil Kuvars, Selestit, Selenit, Seraphinite, Akikleşmiş Mercan, His Taşı, Mercan, Apofilit, Ammonite, Kehribar, Diopsit, Prehnite, Rodonit, Sardonyx, Copal, Libya Çöl Camı, Kornerupine, Limonite, Agatize Mercan, Grösüler Lal Taşı, Hessonite, Limonit, Tuz Lambası, Kaya Tuzu, Halit Minerali, Hanksit, Sonsuzluk Taşı, Giotit, Almandin, Ametist, Lal Taşı, Kedigözü, Lacivert, Vanadinit, Yeşim, Zoisit, Afganit, Ajoite, Atakamit, Mavi Dantelli Akik, Zümrüt, Topaz, Granat, Sugulit, Sodalit, Mistik Topaz, Adamite, Pietersit, Prehnit, Adamit, Aksinit, Aktinolit, Almandin Lal Taşı, Alexandrite"
Vücut ısısını dengelemeye ve ateşi düşürmeye yardımcı olur,"Safir, Akik, Brezilyanit"
Baş ağrısı ve migren semptomlarını hafifletir,"Ametist, Safir, Anjelit, Aragonit, Kehribar, Pietersite, Rutil Kuvars, İyolit, Oltu Taşı, Kaplan Gözü, Selenit, Yeşil Kuvars"
Göz sağlığını destekler ve görme yetisini güçlendirir,"Safir, Hematit, Göz Akik, Lapis Lazuli, Peridot, Akik, Pietersite, Dendritik Opal, Abalon Kabuğu, Apofilit, Akvamarin, Mavi Spinel, Krizotil, Zümrüt, Kaplan Gözü, Ateş Akati, Barit, Cavansite, Gaia Taşı, Girasol, Grönlandit, Nuummit, Okyanus Jasperı, Paraiba Turmalin, Pembe Opal, Vivianit, Goşenit, Rodizit, Purpurit, Ametist, Aventurin, Mavi Dantel Akik, Yeşil Beril, Azurit-Malakit, Krizopraz, Jasper, Moss Akik, Tsavorite Lal Taşı, Mavi Kuvars, Serafinit, Zirkon, Realgar"
"Yaratıcılığı, ilhamı ve sanatsal ifadeyi geliştirir","Rutil Kuvars, Septeryan, Smithsonit, Kavansit, Agni Manitite, Botswana Akik, Ametrine, Jasper, Sitrin, Vülfenit, Zinsit, Kehribar, Kan Taşı, Picasso Jasper, Turuncu Kiyanit, Ametrin, Apatit, Şelit, Vulfenit, Süper Seven"
Hücre yenilenmesini teşvik eder ve fiziksel iyileşme sürecini hızlandırır,"Rutil Kuvars, Serpantin, Peridot, Siyah Turmalin, Aventurin, Çeroit, Azurit, Rodonit, Glendonit, Eritrit, Ödiyalit, Lepidolit, Florit, Dumanlı Kuvars, Kuvars Içinde Brukit, Faden Kuvars"
Hormonal dengeyi sağlar ve üreme sistemi sağlığını destekler,"Rutil Kuvars, Smithsonite, Kan Taşı, Ay Taşı, Karnelyan, Krizokol, Akik, Heliotrope, Pietersite, Selenit, Ajoit, Krizopras, Realgar, Tektit, Unakit, Zoisit, Amonit, Malakit, Yeşil Aytaşı, Pembe Kuvars, Sarı Safir, Pembe Kalsedon, Seruzit, Shiva Lingam, Şaman Taşları, Beyaz Akik, Su Akiği, Amazonit, Biyotit Mercekleri, Siyah Akik, Kopal Kehribar, Cowrie Kabuğu, Ejderha Kanı Jasper, Shiva Lingham Taşı, Larimar"
"Duygusal yaraları şifalandırır, öz-sevgi ve affetmeyi destekler","Serpantin, Sardoniks, Serafinit, Aejirin, Pembe Kuvars, Kunzit, Amazonit, Krizokol, Kalsit, Danburit, Epidot, Morganit, Petalite, Rodokrozit, Rodonit, Abalone Shell, Sardoniks Akik, Aytaşı, Faden Kuvars, Ödiyalit, Datolit"
Geçmiş yaşam şifası ve karmik temizlik süreçlerini destekler,"Selenit, Shattuckite, Libya Çöl Camı, Nuummite"
Kanamaların durdurulmasına ve kan pıhtılaşmasına yardımcı olur,Kan Taşı
Bağımlılıklardan kurtulma sürecini destekler ve iradeyi güçlendirir,"Ametist, İyolit, Prehnite, Petalite, Smitsonit, Carnelian, Kehribar, Iolit, Lepidolit, Barit, Ateş Akik, Tantalit, Kayısı Akik, Hiddenite, Spodumene, Stavrolit, Tantalite"
Hamilelik sürecinde içsel istikrar ve koruma sağlar,"Tek Renkli Türü, Akik, Sardoniks"
Melankoliyi giderir ve yaşama sevincini artırır,Çok Renkli Türü
Sindirim sistemini düzenler ve mide rahatsızlıklarını hafifletir,"Safir, Yeşil Yeşim, Peridot, Serpantin, Rodokrozit, Smitsonit, Selestit, Sitrin, Aquamarine, Rutil Kuvars, Kehribar, Akik, Krizokol, Selenit, Adamite, Alexandrite, Altın Şifacı Kuvars, Ametrin, Andalusit, Ateş Akik, Elmas, Lacivert, Turritella Akik, Varisit, Yakut, Yeşim, Zirkon, Zümrüt, Ametist, Malakit, Sodalit, Astrophyllite, Sugulit, Yosunlu Akik, İnci, Lacivert Taşı, Kükürt, Aytaşı, Kloritli Akik, Montana Akik, Limon Krizopras, Güneş Taşı, Fırın Toprağı, Apatit, Kalsit, Turuncu Kalsit, Okenit, Siyah Jasper, Okyanus Jasper, Aleksandrit, Astrofilit, Andalusite, Almandin Lal Taşı, Atakamit"
Zehirli hayvan sokmalarına ve ısırıklarına karşı koruma sağlar,"Safir, Hematit"
"Özgüveni, cesareti ve kişisel gücü artırır","Kan Taşı, Kloritli Aktinolit, Bronzit, Sitrin, Kırmızı Akik, Pırlanta, Kaplan Gözü, Oltu Taşı, Sardoniks, Lepidolit, Petersit, Kırmızı Jasper, Mookaite Jasper, Pietersite, Tiger Iron, Bumblebee Jasper, Agni Manitite, Pembe Turmalin, Selenit, Akik, Amazonit, Kehribar, Golden Labradorite, Aleksandrit, Tremolite, Jasper, Zultanit, Lal, Akuamarin, Karnelyan, Skapolit, Viviyanit, Stavrolit, Cinnabar, Zinkit, Hemimorfit, Angel Aura Kuvars"
Boşaltım sistemi ve mesane sağlığını destekler,"Hematit, Kavansit"
"Yolculuklarda, özellikle deniz yolculuklarında koruma sağlar","Lal, Kalsedon, Safir, Yakut"
"Bolluk, bereket, şans ve başarı enerjisini hayatınıza çeker","Hematit, Sitrin, Aventurin, Yeşim, Kaplan Gözü, Prehnit, Green Spot Jasper, Peridot, Sardonyx, Dendritik Opal, Adamit, Akik, Ametist, Krizopras, Elmas, Safir, Aqua Aura, Purpurit, Nuummit, Pirit, Yeşil Aventurin, Pollusit, Novakulit, Prasiolite"
"İyimserlik, neşe ve yaşam enerjisi aşılayarak umutsuzluğu giderir","Paua Kabuğu, Sedef)"
"İç denge, kararlılık ve dürüstlük sağlar",Aktinolit
Kişisel zayıflıkların aşılmasını ve doğru kararlar alınmasını sağlar,Aktinolitli Kuvars
Zor durumlarda soğukkanlılık sağlar ve sindirimi destekler,Aejirin-Ojit
Duygusal sınırların korunmasını ve dürüstlüğü destekler,Dendritik Akik
Girişimciliği destekler ve pozitif bakış açısı sağlar,Ateş Akik
"İç organ (kalp, böbrek, karaciğer) sağlığını destekler","Safir, Kavansit, Bantlı Karnelyan, Çaroit, Pietersite, Rodonit, Peridot, Prehnit, Yeşim"
Zihinsel netliği artırır ve dolaşım sistemini destekler,Elmas
"Fiziksel gücü, dayanıklılığı ve yaşam enerjisini artırır","Mavi Apatit, Yeşil Apatit, Siyah Oniks, Jasper, Tiger Iron, Kırmızı Jasper, Safir, Petalit"
Elektromanyetik radyasyona (EMF) karşı koruma sağlar,"Siyah Turmalin, Şungit, Obsidyen, Florit, Dumanlı Kuvars, Pirit, Lepidolit, Big Bang Jasper, Amazonit, Ametist, Tantalite, Tantalit, Aventurin, Jasper, Shungite, Galen, Kuvars, Que Sera Taşı, Llanit, Blizzard Taşı"
Kanser tedavi süreçlerinde hücresel ve ruhsal destek sağlar,"Rutil Kuvars, Seraphinite, Azurit, Meteor Taşı, Melanit, Rodizit, Selenit"
Kalp sağlığını destekler ve kan dolaşımını düzenler,"Pembe Kuvars, Kan Taşı, Aventurin, Karnelyan, Verdite, Bantlı Karnelyan, Lal Taşı, Oltu Taşı, Rodokrozit, Serafinit, Safir, Mavi Safir, Mookaite Jasper, Prehnite, Rodonit, Siyah Turmalin, Dendritik Opal, Rutil Kuvars, Shattuckite, Almandin Lal Taşı, Ametrin, Anyolit, Atakamit, Baltık Kehribar, Golden Healer, İnci, Kehribar, Lacivert, Malakit, Unakit, Yakut, Yeşim, Zirkon, Zümrüt, Ateş Akiği, Ateş Akik, Sodalit, Yosun Akiği, Almandin Granat, Alexandrite, Pembe Turmalin, Varisit, Yosunlu Akik, Zoisit, Topaz, Tanzanit, Hematit, Lacivert Taşı, Mercan, Resim Akik, Azurit, Elmas, Peridot, Florit, Şap, Krizokol, Boraks, Hafif Toz, Realgar, Kükürt, Sülüğen, İyolit, Opal, Aktinolit, Cobalto-Kalsit, Krizopras, Kunzit, Siyah Kyanite, Limonit, Spinel, Lal, Andalusite, Agnitit, Kalsit, Krizopraz, Kobalt-Kalsit, Kovelit, Kambaba Jasper, Maun Obsidyen, Stibnit, Stilbit, Ajoite, Adamite, Ametist, Amblygonit, Bixbite, Bustamit, Cacoxenite, Çilek Kuvarsı, Eilat Taşı, Erythrite, Eudialyte, Girasol, Grönlandit, Hemimorphit, Larimar, Lemurya Yeşimi, Merlinite, Morganit, Okyanus Jasperı, Prazolit, Yeşil Kuvars, Pembe Kalsit, Ammolit, Yeşil Aventurin, Pollusit, Purpurit"
Metabolizmayı düzenler ve kilo kontrolünü destekler,"Kaplan Gözü, Peridot, Karnelyan, Prehnit, Smithsonit, Apatit, Safir, Selenit, Anjelit, Ateş Akik, Zinober, Kassiterit, Ametrin"
Güçlü topraklama sağlar ve fiziksel-ruhsal dengeyi korur,"Akik, Siyah Turmalin, Obsidyen, Hematit, Bronzit, Kırmızı Jasper, Tiger Iron, Aura Black Kyanite, Ağaç Akik, Almandin Lal Taşı, Anyolit, Axinite, Chiastolite, Unakit, Vanadinit, Yakut, Yosun Akik, Astrophyllite, Aksinit, Almandin, Astrofilit, Aktinolit, Galen, Kuvars Içinde Brukit, Siyah Gümüş Titanyum"
Hafızayı güçlendirir ve zihinsel performansı artırır,"Kristal Kuvars, Peridot, Rodokrozit, Barit"
Tembelliği giderir ve hareketlilik kazandırır,Kan Taşı
Endüstriyel kullanım ve enerji teknolojileri için değerlidir,"Petalit, Lepidolit"
Kulak sağlığını ve denge sistemini destekler,"Safir, Sardonyx"
Kan şekerini dengeler ve metabolik sağlığı korur,Krizokol
Vücudunu parazitlerden arındırmaya yardımcı olur,Serpantin
İletişim becerilerini ve kendini ifade etmeyi güçlendirir,"Amazonit, Anjelit, Apatit, Akuamarin, Lapis Lazuli, Larimar, Turkuaz, Aqua Aura Kuvars, Kaligrafi Taşı, Mavi Topaz, Mavi Skapolit, Viviyanit"
"Boğaz, tiroid ve solunum yolu sağlığını destekler","Amazonit, Anjelit, Apofilit, Akuamarin, Lapis Lazuli, Larimar, Turkuaz, Golden Kuvars, Blue Topaz, Mavi Dantelli Akik, Azurit, Selestit, Ammonit, Chrysocolla, Green Kuvars, Blue Aragonite, Ametist, Uvarovit, Verdite, Tremolite, Tremolit, Cacoxenite, His Taşı"
Yin-Yang (eril ve dişil) enerjilerini dengeler ve uyumlar,"Akik, Amazonit, Ametrin, Aventurine, Black Zebra Akik, Turkuaz, Ametrine, Rodonit, Kayısı Akik, Aktinolit, Krizopras, Kaplan Gözü, Jasper, Zebra Jasper"
Enerjiyi topraklayarak zihinsel istikrar ve sakinlik sağlar,"Akik, Jasper, Kaplan Gözü, Obsidyen, Kaligrafi Taşı, Dumanlı Kuvars, Götit, Turmalinli Kuvars, Menalit, Hematit, Galen, Siyah Jasper, Kırmızı Jasper, Oniks, Scheelite, Tantalite, Stavrolit"
"Kan dolaşımını düzenler, kan sağlığını ve basıncını dengeler","Akik, Ametrin, Kaplan Gözü, Lal Taşı, Verdit, Kan Taşı, Albit, Krizokol, Jasper, Lal, Tugtupit, Vivianit, Tremolite, Wavellite, Larimar, Afrika Yeşimi, Karnelyan, Kalsedon, Güneştaşı, Kırmızı Jasper, Ateş Opal, Sitrin, Kehribar, Zirkon, Kırmızı Turmalin, Yakut, Elmas, Stavrolit, Vivianite, Tugtupite, Cinnabar, Kunzit, Tantalite, Scheelite, Scolecite, Viviyanit, Tantalit, Siderit"
"Bolluk, bereket, şans ve başarıyı çeker","Akik, Kaplan Gözü, Sitrin, Uvarovit, Yeşim Taşı, Ametrine, Aleksandrit, Wavellite, Yeşim"
"Sindirim sistemi ve mide rahatsızlıklarını yatıştırır, metabolizmayı düzenler","Akik, Ametrin, Kaplan Gözü, Amazonit, Apatit, Ay Taşı, Obsidyen, Sitrin, Grey Lace Akik, Citrine, Güneş Taşı, Ateş Akik, Montana Akik, Ametist, Tremolite, Üleksit, Ametrine, Jasper, Turkuaz, Verdelit, Yeşim, Ateş Agat, Kayısı Akik, Bumblebee Jasper, Krizokol, Turuncu Kalsit, Sarı Akik, Krizopras, Şeelit, Tantalite, Stibnite, Tremolit, Cacoxenite"
Baş ağrısı ve migreni hafifletir,"Ametist, Ametrin, Anjelit, Florit, Lapis Lazuli, Kehribar, Angelite, Blue Goldstone, Charoite, Biksbiyit, Ametrine, Bixbyite, Auralite-23, Herderite, Pembe Kuvars, Skapolit, Verdite, Afganit, Ajoite, Akik, Elmas, İnci, Mercan, Oltu Taşı, Zirkon, Sugulit, Atakamit, Granat, Biksbiit, Herderit, Turkuaz, Mondolite Kuvars, Gül Kuvars, Lal Taşı, Akroit, İzlanda Spatı, Amblygonit, Cavansite, Grönlandit, İsis Kanı, Lazulite, Mum Kuvarsı, Quantum Quattro, Sugilit, Bustamit, Açık Mor Ametist, Purpurit, Pembe Natrolite, Yeşil Kuvars, Hematit, Auralite 23, Mondolit Kuvars"
"Uyku kalitesini artırır, uykusuzluğu giderir ve rüyaları düzenler","Akik, Amazonit, Ametist, Ametrin, Larimar, Yeşim Taşı, Grey Wave Jasper, Grape Akik, Karayip Kalsiti, Auralite-23, Havlit, Ay Taşı, Yeşim, Muska Taşı, Gri Dalga Jasper, Skolesit, Mavi Dantel Akik, Aytaşı, Stilbit, Pembe Dolomit, Pembe Kuvars, Zultanit, Stavrolit, Zebra Jasper"
Bağışıklık sistemini güçlendirir ve destekler,"Ametist, Florit, Lapis Lazuli, Turkuaz, Kehribar, Angelite, Blue Goldstone, Charoite, Chevron Ametist, Ametrine, Andradit Lal Taşı, Kalsedon, Siderit, Verdelit, Jasper, Verdite, Zinsit, Ametrin, Melek Tozu Kuvars, Siyah Opal, Cinnabar, Kunzit, Zincite, Tiffany Stone, Viviyanit, Yeşil, Akuamarin, Kalsit, Zoisit, Kalsiyum Florit"
Vücuttaki toksinlerin atılmasına ve detoksa yardımcı olur,"Ametrin, Obsidyen, Turkuaz, Uvarovit, Yeşim Taşı"
Duygusal travmaları şifalandırır ve duygusal denge sağlar,"Kaplan Gözü, Lapis Lazuli, Obsidyen, Oniks, Amazonit, Abalone Shell, Tiffany Stone, Zinsit, Akik, Tugtupit, Jasper, Kayısı Akik, Kiraz Kuvars, Lepidokrosit, Kuantum Quattro, Ateş Agat, Rodonit, Lepidolit, Pembe Opal, Yeşil Akik, Hiddenite, Kunzit, Süper Seven, Stibnite, Vavelit, Verdite, Scheelite, Cinnabar, Pembe Kuvars, Yeşil Yeşim, Yeşil Jasper"
"Göz sağlığını destekler, görme yetisini güçlendirir ve yorgunluğu giderir","Akik, Akuamarin, Apofilit, Auralite 23, Üleksit, Ametist, Kalsit, Kedigözü Kuvars, Yeşil Beril, Skapolit, Viviyanit, Stromatolit, Tiffany Taşı, Uleksit"
"Kadın sağlığını, hormonal dengeyi ve hamilelik sürecini destekler","Akik, Larimar, Ay Taşı, Aquamarine, Grey Lace Akik, Dolomit, Verdite, Pembe Kalsit, Kassiterit, Anhidrit, Jasper, Tugtupit, Zinsit, Tiffany Stone, Akuamarin, Krizopras, Cinnabar, Zincite, Scheelite, Vulfenit, Ametist, Mavi Kalsedon"
Cilt sağlığını destekler ve cilt rahatsızlıklarının iyileşmesine yardımcı olur,"Akik, Ateş Akik, Üleksit, Wavellite, Verdit, Pembe Yeşim, Kükürt, Aventurin, Hiddenite, Uleksit, Stilbit, Azurit, İskenderit, Glendonit, Epidot, Sitrin, Healerite, Skapolit, Viviyanit, Apatit, Kunzit, Rutil"
Vücuttaki sıvı dengesini düzenler ve ödem atar,"Anjelit, Mavi Turmalin, Wavellite"
"Detoks etkisi sağlayarak toksinlerin atılmasına yardımcı olur, karaciğer ve böbrekleri destekler","Black Opal, Bumblebee Jasper, Aktinolit, Ametist, Ametrine, Tugtupit, Azurit, Canadian Yeşim, Green Lal Taşı, Galena, Mavi Turmalin, Amazonit, Jasper, Sitrin, Turkuaz, Yeşim, Chrysocolla, Dumortierite, Healerite, Güneş Taşı, Yeşil Turmalin, Ametrin, Krizopras, Malahit, Kehribar, Kan Taşı, Anjelit, Dumanlı Kuvars, Yeşim Taşı"
"Kas ve eklem ağrılarını, krampları ve spazmları hafifletir","Chrysocolla, Dumortierite, Healerite, Güneş Taşı, Brecciated Jasper, Aragonit, Yeşim Kalsit, Mahun Obsidyen, Zirkon, Larimar, Auralite-23, Kehribar, Green Goldstone, Green Kuvars, Mavi Dantelli Akik, Krizokol, Tremolite, Charoite, Mavi Dantel Akik, Siyah Turmalin, Lepidolit, Stavrolit, Stibnite, Obsidyen"
Vücuttaki oksijen seviyelerini yükseltir,"Verdit, Ametrine, Azurite"
"Ruhsal büyümeyi, dönüşümü ve kolektif şifayı destekler","African Turquoise, Bismuth, Verdite, Tremolite, Atlantisite, Brecciated Jasper, Zinsit, Lal, Wulfenite"
Endüstriyel ve teknolojik alanlarda iletkenlik sağlar,"Zinsit, Galena"
İçeriğindeki minerallerle enerji dengesi sağlar,Vülfenit
"Bolluk, bereket, şans and başarıyı çeker","Aqua Aura Kuvars, Süper Yedi, Scapolite, Scheelite, Cinnabar, Uvarovit, Sitrin, Stromatolit, Kaplan Gözü, Jasper, Siderit, Ametrin"
Diğer kristallerin enerjisini temizler ve şarj eder,"Kristal Kuvars, Fenasit, Manyezit, Moldavit"
"Sezgileri, psişik farkındalığı ve üçüncü göz aktivasyonunu güçlendirir","Kavansit, Kemererit, Phenacite, Opal, Turkuvaz, Safir, Kovelit, Fenakit, Natrolit, Altın Azeztulite Kristalleri, Sanda Rosa Azeztulite, Kovellit, Hanksit, Jeremejevite, Kornerupin, Götit, Goshenit, Hessonite, Kakoksenit"
Negatif enerjilere ve psişik saldırılara karşı koruma sağlayarak aurayı dengeler ve korur,"Kassiterit, Copal, Kavansit, Kemererit, Moldavite, Selenit, Benekli Kalsedon, Metamorfoz Kuvars, Tibet Siyah Kuvars, Libya Çöl Camı, Sardoniks, Siyah Turmalin, Obsidiyen, Akik, Pirit, Kriyolit, Karnelyan"
"Stres, kaygı ve anksiyeteyi hafifleterek derin bir huzur ve sükunet sağlar","Kassiterit, Kavansit, Rosophia, Blue Cassiterite, Ametist, Yeşim, Selestin, Kriyolit, Kuprit, Kornerupine, Libethenite, Safir, Selestit, Kalsedon, Çilek Kuvars, Libya Çöl Camı, Aku Aura Kuvars, Sanda Rosa Azeztulite, Kloritli Kuvars, Varisit, Cavansit, Cuprite, Goshenit, Kornerupin, Klinozoisit, Hiddenite, Götit, Hessonite, Kunzit, Lepidokrosit"
