Fayda,Taşlar
Cilt sağlığını destekler ve deri rahatsızlıklarını iyileştirmeye yardımcı olur,"Selenit, Rutil Kuvars, Smithsonit, Rodokrozit, Selestit, Rodonit, Afganit, Ajoite, Aktinolit, Apofilit, Ateş Akik, Lapis Lazuli, Vesuvianite (Vezüvyan), Yosunlu Akik, Zirkon, Zoisit, Zümrüt, Şungit, Vesuvianite, Sodalit, Anyolit, Turmalin, Lacivert Taşı, Yeşim, Bakır, Kil, Tanzanit, Yakut, Dalmatian Jasper, Dravit, Erythrite, Fosfosiderit"
Ruhsal farkındalığı artırır ve spiritüel gelişimi destekler,"Safir, Selestit, Seraphinite, Selenit, Rutil Kuvars, Moldavit, Çeroit, Petalit, Shattuckite, Cavansite (Kavansit), Phenacite, Copal (Kopal), Cassiterite (Kassiterit), Kovelit, Libya Çöl Camı, Azeztulit, Metamorfoz Kuvars, Hanksit, Afrika Turkuazı, İlvaite, Tsavorit Garnet, Kavansit, Sonsuz Taş, Süper Yedi Taş, Lemuryan Kuvars, Kakoksenit, Benekli Kalsedon, Angel Aura Kuvars, Sanda Rosa Azeztulite, Kriyolit, Goshenit"
"İlişkilerde sevgi, uyum ve duygusal bağı güçlendirir","Safir, Sardonyx, Selestit, Ajoite, Rose Quartz, Zümrüt, Yeşim, Aventurin, Alexandrite, Almandin, Andalusite, Astrofilit, Atakamit"
Solunum yolu ve akciğer sağlığını destekler,"Rutil Kuvars, Selestit, Selenit, Seraphinite, Akikleşmiş Mercan, His Taşı, Mercan, Apofilit, Ammonite, Kehribar (Amber), Diopsit, Prehnite, Rodonit, Sardonyx, Copal (Kopal), Libya Çöl Camı, Kornerupine, Limonite, Agatize Mercan, Grösüler Garnet, Hessonite, Limonit, Tuz Lambası, Kaya Tuzu, Halit Minerali, Hanksit, Sonsuzluk Taşı, Giotit, Almandin, Ametist, Garnet (Lal), Kedigözü, Kehribar, Lacivert, Vanadinit, Yeşim, Zoisit, Afganit, Ajoite, Atakamit, Mavi Dantelli Akik, Zümrüt, Topaz, Granat (Lal), Sugulit, Sodalit, Mistik Topaz, Adamite, Pietersit, Prehnit, Adamit, Aksinit, Aktinolit, Almandin Garnet, Alexandrite, Atakamit (Atakamite)"
Vücut ısısını dengelemeye ve ateşi düşürmeye yardımcı olur,"Lapis Lazuli (Safir), Akik (Ratjari Mohara), Brezilyanit (Brazilianite)"
Baş ağrısı ve migren semptomlarını hafifletir,"Ametist, Safir, Anjelit (Angelite), Aragonit (Aragonite), Kehribar (Amber), Pietersite, Rutil Kuvars, İyolit (Kordierit), Oltu Taşı, Kaplan Gözü, Selenit, Prasiolite (Yeşil Kuvars)"
Göz sağlığını destekler ve görme yetisini güçlendirir,"Lapis Lazuli (Safir), Hematit, Göz Akik, Lapis Lazuli, Peridot, Akik, Safir, Pietersite, Dendritik Opal, Abalon Kabuğu, Apofilit, Akvamarin, Mavi Spinel, Krizotil, Zümrüt, Kaplan Gözü, Ateş Akati, Barit, Cavansite, Gaia Taşı, Girasol, Grönlandit, Nuummit, Okyanus Jasperı, Paraiba Turmalin, Pembe Opal, Vivianit, Renksiz Beril (Goşenit), Rodizit, Purpurit, Ametist, Aventurin, Mavi Dantel Akik, Yeşil Beril, Azurit-Malakit, Krizopraz, Jasper, Moss Agate, Tsavorite Garnet, Mavi Kuvars, Serafinit, Zirkon, Realgar"
"Yaratıcılığı, ilhamı ve sanatsal ifadeyi geliştirir","Rutil Kuvars, Septeryan, Smithsonit, Kavansit, Agni Manitite, Botswana Akik, Ametrine (Ametrin), Jasper, Sitrin, Vülfenit (Wulfenite), Zincite (Zinsit), Kehribar, Kan Taşı, Picasso Jasper, Turuncu Kiyanit, Ametrin, Apatit, Şelit, Vulfenit, Süper Seven"
Hücre yenilenmesini teşvik eder ve fiziksel iyileşme sürecini hızlandırır,"Rutil Kuvars, Serpantin, Peridot (Zeberced), Siyah Turmalin, Aventurin, Çeroit (Charoite), Azurit, Rodonit, Glendonit, Erythrite (Eritrit), Eudialyte (Ödiyalit), Lepidolit, Florit, Dumanlı Kuvars, Kuvars içinde Brukit (Brookite in Quartz), Faden Kuvars (Glendonite)"
Hormonal dengeyi sağlar ve üreme sistemi sağlığını destekler,"Rutil Kuvars, Smithsonite, Kan Taşı (Heliotrope), Ay Taşı, Karnelyan, Krizokol, Akik, Heliotrope, Pietersite, Selenit, Ajoit, Krizopras, Realgar, Tektit, Unakit, Zoisit, Amonit, Malakit, Yeşil Aytaşı, Pembe Kuvars, Sarı Safir (Pukhraj), Pembe Kalsedon, Seruzit, Shiva Lingam, Moqui Marbles (Şaman Taşları), Beyaz Akik, Su Akiği (Enhydro), Amazonit, Biyotit Mercekleri, Siyah Akik, Kopal Kehribar, Cowrie Kabuğu, Ejderha Kanı Jasper, Shiva Lingham Taşı, Larimar"
"Duygusal yaraları şifalandırır, öz-sevgi ve affetmeyi destekler","Serpantin, Sardoniks, Serafinit, Aejirin, Pembe Kuvars (Gül Kuvars), Kunzit, Amazonit, Krizokol, Kalsit, Danburit, Epidot, Morganit, Petalite, Rodokrozit, Rodonit, Abalone Shell, Sardoniks Akik, Aytaşı, Faden Kuvars, Eudialyte (Ödiyalit), Datolit (Datolite)"
Geçmiş yaşam şifası ve karmik temizlik süreçlerini destekler,"Selenit, Shattuckite, Libya Çöl Camı, Nuummite"
Kanamaların durdurulmasına ve kan pıhtılaşmasına yardımcı olur,"Kan Taşı (Heliotrope/Hematit), Heliotrope (Kan Taşı)"
Bağımlılıklardan kurtulma sürecini destekler ve iradeyi güçlendirir,"Ametist, İyolit, Prehnite, Petalite, Smitsonit, Amethyst (Ametist), Carnelian (Karnelyan), Kehribar (Amber), Iolit, Lepidolit, Barit, Ateş Akik, Tantalit, Kayısı Akik, Kehribar, Hiddenite, Spodumene (Triphane), Stavrolit, Tantalite"
Hamilelik sürecinde içsel istikrar ve koruma sağlar,"Sardonyx (Tek renkli türü), Akik, Sardoniks (Monokrom tip)"
Melankoliyi giderir ve yaşama sevincini artırır,Sardonyx (Çok renkli türü)
Sindirim sistemini düzenler ve mide rahatsızlıklarını hafifletir,"Lapis Lazuli (Safir), Yeşil Yeşim (Jasper), Peridot (Zeberced), Serpantin, Rodokrozit, Smitsonit, Selestit, Sitrin, Aquamarine, Rutil Kuvars, Amber, Akik (Agate), Krizokol, Selenit, Adamite, Akik, Alexandrite, Altın Şifacı Kuvars, Ametrin, Andalusit, Ateş Akik, Elmas, Kehribar, Lacivert, Turritella Akik, Varisit, Yakut, Yeşim, Zirkon, Zümrüt, Ametist, Malakit, Sodalit, Astrophyllite, Sugulit, Yosunlu Akik, İnci, Lacivert Taşı, Kükürt, Aytaşı, Peridot, Kloritli Akik, Montana Akik, Limon Krizopras, Safir, Güneş Taşı, Fırın Toprağı, Ateş Akik (Fire Agate), Apatit, Kalsit, Turuncu Kalsit, Okenit, Siyah Jasper, Okyanus Jasper, Aleksandrit, Astrofilit, Andalusite, Almandin Garnet, Atakamit (Atakamite)"
Zehirli hayvan sokmalarına ve ısırıklarına karşı koruma sağlar,"Lapis Lazuli (Safir), Hematit"
"Özgüveni, cesareti ve kişisel gücü artırır","Kan Taşı (Heliotrope), Kloritli Aktinolit, Bronzit, Sitrin, Kırmızı Akik (Carnelian), Pırlanta, Kaplan Gözü, Oltu Taşı, Sardoniks, Lepidolit, Petersit, Kırmızı Jasper, Mookaite Jasper, Pietersite, Tiger Iron, Bumblebee Jasper, Agni Manitite, Pembe Turmalin, Selenit, Akik (Agate), Amazonit (Amazonite), Kaplan Gözü (Tiger’s Eye), Sitrin (Citrine), Amber (Kehribar), Golden Labradorite, Aleksandrit, Tremolite, Jasper, Zultanit, Akik, Amazonit, Kan Taşı, Lal, Akuamarin, Karnelyan, Skapolit, Viviyanit, Stavrolit, Cinnabar, Zinkit, Hemimorfit, Angel Aura Kuvars"
Boşaltım sistemi ve mesane sağlığını destekler,"Hematit, Kavansit"
"Yolculuklarda, özellikle deniz yolculuklarında koruma sağlar","Lal (Carbuncle), Kalsedon, Safir (Hyacinth), Safir (Hiyosint), Yakut (Karbunkle)"
"Bolluk, bereket, şans ve başarı enerjisini hayatınıza çeker","Hematit, Sitrin, Aventurin, Yeşim, Kaplan Gözü, Prehnit, Green Spot Jasper, Peridot, Sardonyx, Dendritik Opal, Adamit, Akik, Ametist, Krizopras, Elmas, Safir, Aqua Aura, Purpurit, Nuummit, Pirit, Yeşil Aventurin, Pollusit, Novakulit, Prasiolite"
"İyimserlik, neşe ve yaşam enerjisi aşılayarak umutsuzluğu giderir","Abalone (Paua kabuğu, Sedef)"
"İç denge, kararlılık ve dürüstlük sağlar",Aktinolit
Kişisel zayıflıkların aşılmasını ve doğru kararlar alınmasını sağlar,Aktinolitli Kuvars
Zor durumlarda soğukkanlılık sağlar ve sindirimi destekler,Aejirin-Ojit
Duygusal sınırların korunmasını ve dürüstlüğü destekler,Dendritik Akik
Girişimciliği destekler ve pozitif bakış açısı sağlar,Ateş Akik
"İç organ (kalp, böbrek, karaciğer) sağlığını destekler","Safir, Kavansit, Bantlı Karnelyan, Çaroit (Charoite), Pietersite, Rodonit, Peridot, Prehnit, Yeşim (Jade)"
Zihinsel netliği artırır ve dolaşım sistemini destekler,Elmas
"Fiziksel gücü, dayanıklılığı ve yaşam enerjisini artırır","Mavi Apatit, Yeşil Apatit, Siyah Oniks, Jasper, Tiger Iron, Kırmızı Jasper, Safir, Petalit"
Elektromanyetik radyasyona (EMF) karşı koruma sağlar,"Siyah Turmalin, Şungit, Obsidyen, Florit, Dumanlı Kuvars, Pirit, Lepidolit, Big Bang Jasper, Amazonit (Amazonite), Ametist, Amazonit, Tantalite, Tantalit, Aventurin, Jasper, Shungite, Galen, Kuvars, Que Sera Taşı, Llanit, Blizzard Taşı"
Kanser tedavi süreçlerinde hücresel ve ruhsal destek sağlar,"Rutil Kuvars, Seraphinite, Azurit, Meteor Taşı (Göktaşı), Melanit, Rodizit, Selenit"
Kalp sağlığını destekler ve kan dolaşımını düzenler,"Pembe Kuvars, Kan Taşı (Heliotrope), Aventurin, Karnelyan, Verdite, Bantlı Karnelyan, Garnet (Lal), Oltu Taşı, Rodokrozit, Serafinit, Safir, Mavi Safir, Mookaite Jasper, Prehnite, Rodonit, Siyah Turmalin, Dendritik Opal, Rutil Kuvars, Shattuckite, Almandin Garnet, Ametrin, Anyolit, Atakamit, Baltık Kehribar (Amber), Golden Healer, İnci, Kan Taşı, Kehribar, Lacivert, Malakit, Unakit, Yakut, Yeşim, Zirkon, Zümrüt, Ateş Akiği, Ateş Akik, Sodalit, Yosun Akiği, Almandin Granat, Alexandrite, Pembe Turmalin, Varisit, Yosunlu Akik, Zoisit, Topaz, Tanzanit, Hematit, Lacivert Taşı, Mercan, Resim Akik, Azurit, Elmas, Peridot, Florit, Şap, Krizokol, Boraks, Hafif Toz, Realgar, Kükürt, Sülüğen, İyolit, Opal, Aktinolit, Cobalto-calcite, Krizopras, Kunzit, Siyah Kyanite, Limonit, Spinel, Lal (Garnet), Andalusite, Granat (Lal Taşı), Aktinolit (Actinolite), Agnitit, Kalsit, Krizopraz (Chrysoprase), Kobalt-Kalsit, Kovelit (Covellite), Kambaba Jasper, Maun Obsidyen, Stibnit, Stilbit, Ajoite, Atakamit (Atakamite), Garnet (Lal Taşı), Adamite, Ametist, Amblygonit, Bixbite, Bustamit, Cacoxenite, Çilek Kuvarsı, Eilat Taşı, Erythrite, Eudialyte, Girasol, Grönlandit, Hemimorphit, Larimar, Lemurya Yeşimi, Merlinite, Morganit, Okyanus Jasperı, Prazolit, Yeşil Kuvars, Pembe Kalsit, Ammolit, Yeşil Aventurin, Pollusit, Purpurit"
Metabolizmayı düzenler ve kilo kontrolünü destekler,"Kaplan Gözü, Peridot, Karnelyan, Prehnit, Smithsonit, Apatit, Safir, Selenit, Anjelit (Angelite), Angelite (Anjelit), Apatite (Apatit), Ateş Akik, Zinober (Cinnabar), Kassiterit, Ametrin, Anjelit"
Güçlü topraklama sağlar ve fiziksel-ruhsal dengeyi korur,"Akik, Siyah Turmalin, Obsidyen, Hematit, Bronzit, Kırmızı Jasper, Tiger Iron, Aura Black Kyanite, Ağaç Akik, Almandin Garnet, Anyolit, Axinite, Chiastolite, Unakit, Vanadinit, Yakut, Yosun Akik, Astrophyllite, Aksinit, Almandin, Astrofilit, Aktinolit, Galen (Galena), Kuvars içinde Brukit (Brookite), Siyah Gümüş Titanyum"
Hafızayı güçlendirir ve zihinsel performansı artırır,"Kristal Kuvars, Peridot, Rodokrozit, Barit"
Tembelliği giderir ve hareketlilik kazandırır,Heliotrope (Kan Taşı)
Endüstriyel kullanım ve enerji teknolojileri için değerlidir,"Petalit, Lepidolit"
Kulak sağlığını ve denge sistemini destekler,"Safir, Sardonyx"
Kan şekerini dengeler ve metabolik sağlığı korur,Krizokol (Chrysocolla)
Vücudunu parazitlerden arındırmaya yardımcı olur,Serpantin
İletişim becerilerini ve kendini ifade etmeyi güçlendirir,"Amazonit (Amazonite), Anjelit (Angelite), Apatit, Akuamarin (Aquamarine), Lapis Lazuli, Larimar, Turkuaz (Turquoise), Aqua Aura Kuvars, Kaligrafi Taşı, Mavi Topaz, Mavi Skapolit, Viviyanit, Anjelit, Akuamarin, Amazonit"
"Boğaz, tiroid ve solunum yolu sağlığını destekler","Amazonit (Amazonite), Anjelit (Angelite), Apofilit (Apophyllite), Akuamarin (Aquamarine), Lapis Lazuli, Larimar, Turkuaz (Turquoise), Golden Quartz, Blue Topaz, Angelite (Anjelit), Mavi Dantelli Akik, Azurite (Azurit), Selestit, Amazonite (Amazonit), Turkuaz, Ammonite (Ammonit), Chrysocolla (Krizokol), Green Quartz, Apophyllite (Apofilit), Blue Aragonite, Ametist, Uvarovit, Verdite, Tremolite, Anjelit, Apofilit, Akuamarin, Azurit, Tremolit, Amazonit, Cacoxenite, Mavi Dantelli Akik (Blue Laced Agate), His Taşı"
Yin-Yang (eril ve dişil) enerjilerini dengeler ve uyumlar,"Akik (Agate), Amazonit (Amazonite), Ametrin (Ametrine), Amazonite (Amazonit), Aventurine (Aventurin), Black Zebra Agate, Turquoise (Turkuaz), Ametrine (Ametrin), Rodonit, Kayısı Akik, Akik, Aktinolit, Krizopras, Kaplan Gözü, Jasper, Amazonit, Zebra Jasper"
Enerjiyi topraklayarak zihinsel istikrar ve sakinlik sağlar,"Akik (Agate), Jasper, Kaplan Gözü (Tiger’s Eye), Obsidyen (Obsidian), Kaligrafi Taşı, Dumanlı Kuvars, Götit, Turmalinli Kuvars, Menalit, Hematit, Galen, Siyah Jasper, Kırmızı Jasper, Oniks, Scheelite, Tantalite, Stavrolit"
"Kan dolaşımını düzenler, kan sağlığını ve basıncını dengeler","Akik (Agate), Ametrin (Ametrine), Kaplan Gözü (Tiger’s Eye), Lal Taşı (Garnet), Verdite (Verdit), Agate (Akik), Kan Taşı (Helyotrop), Albit, Krizokol, Jasper, Kaplan Gözü, Lal (Garnet), Tugtupit, Vivianit, Tremolite, Wavellite, Kan Taşı, Larimar, Verdit (Afrika Yeşimi), Karnelyan, Kalsedon, Güneştaşı, Kırmızı Jasper, Ateş Opal, Sitrin, Kehribar, Zirkon, Kırmızı Turmalin, Garnet (Lal), Yakut, Elmas, Stavrolit, Vivianite, Tugtupite, Cinnabar, Kunzit, Tantalite, Scheelite, Akik, Scolecite, Viviyanit, Tantalit, Siderit"
"Bolluk, bereket, şans ve başarıyı çeker","Akik (Yemen Akiği), Kaplan Gözü (Tiger’s Eye), Sitrin (Citrine), Uvarovit, Yeşim Taşı (Jade), Ametrine (Ametrin), Aleksandrit, Akik (Yemen), Kaplan Gözü, Sitrin, Wavellite, Yeşim"
"Sindirim sistemi ve mide rahatsızlıklarını yatıştırır, metabolizmayı düzenler","Akik (Agate), Ametrin (Ametrine), Kaplan Gözü (Tiger’s Eye), Amazonit (Amazonite), Apatit, Ay Taşı (Moonstone), Obsidyen (Obsidian), Sitrin (Citrine), Agate (Akik), Grey Lace Agate, Citrine (Sitrin), Sunstone, Ateş Akik, Montana Akik, Ametist, Ay Taşı, Kaplan Gözü, Tremolite, Üleksit, Amazonit, Ametrine (Ametrin), Jasper, Sitrin, Turkuaz, Verdelit, Yeşim, Akik, Ateş Agat, Kayısı Akik, Bumblebee Jasper, Krizokol, Turuncu Kalsit, Sarı Akik, Krizopras (Limon), Şeelit, Tantalite, Stibnite, Tremolit, Cacoxenite"
Baş ağrısı ve migreni hafifletir,"Ametist, Ametrin (Ametrine), Anjelit (Angelite), Florit (Fluorite), Lapis Lazuli, Amber (Kehribar), Angelite, Blue Goldstone, Charoite, Amethyst (Ametist), Biksbiyit, Ametrine (Ametrin), Florit, Bixbyite, Auralite-23, Herderite, Pembe Kuvars, Skapolit, Verdite, Afganit, Ajoite, Akik, Elmas, İnci, Mercan, Oltu Taşı, Zirkon, Sugulit, Atakamit, Granat (Lal), Biksbiit, Herderit, Turkuaz, Biksbiyit (Bixbyite), Mondolite Kuvars, Gül Kuvars, Garnet (Lal Taşı), Akroit (Renksiz Turmalin), İzlanda Spatı, Amblygonit, Cavansite, Grönlandit, İsis Kanı, Lazulite, Mum Kuvarsı, Quantum Quattro, Sugilit, Bustamit, Açık Mor Ametist (Cape Ametisti), Purpurit, Pembe Natrolite, Prazolit (Yeşil Kuvars), Hematit, Auralite 23, Mondolit Kuvars"
"Uyku kalitesini artırır, uykusuzluğu giderir ve rüyaları düzenler","Akik (Agate), Amazonit (Amazonite), Ametist, Ametrin (Ametrine), Larimar, Yeşim Taşı (Jade), Amethyst (Ametist), Grey Wave Jasper, Grape Agate, Caribbean Calcite (Karayip Kalsiti), Auralite-23, Havlit, Ay Taşı, Yeşim, Amazonit, Muska Taşı, Gri Dalga Jasper, Scolecite (Skolesit), Mavi Dantel Akik, Aytaşı, Stilbit, Pembe Dolomit, Pembe Kuvars, Zultanit, Stavrolit, Yeşim Taşı, Zebra Jasper"
Bağışıklık sistemini güçlendirir ve destekler,"Ametist, Florit (Fluorite), Lapis Lazuli, Turkuaz (Turquoise), Amber (Kehribar), Angelite, Blue Goldstone, Charoite, Chevron Ametist, Ametrine (Ametrin), Andradit Garnet, Kalsedon, Siderit, Turkuaz, Verdelit, Jasper, Verdite, Zincite (Zinsit), Kehribar, Ametrin, Melek Tozu Kuvars, Siyah Opal, Cinnabar (Zinober), Kunzit, Zincite, Florit, Tiffany Stone, Viviyanit, Kalsit (Yeşil), Akuamarin, Kalsit (Cobalt), Zoisit, Kalsiyum Florit"
Vücuttaki toksinlerin atılmasına ve detoksa yardımcı olur,"Ametrin (Ametrine), Obsidyen (Obsidian), Turkuaz (Turquoise), Uvarovit, Yeşim Taşı (Jade)"
